CONCEPT_ID	CONCEPT_CODE	CONCEPT_CLASS
2618072	G9138	Condition
2618071	G9137	Condition
2618068	G9134	Condition
2618069	G9135	Condition
2618070	G9136	Condition
2618050	G9116	Condition
2618051	G9117	Condition
2618047	G9113	Condition
2618049	G9115	Condition
2618039	G9105	Condition
2618042	G9108	Condition
2618040	G9106	Condition
2618041	G9107	Condition
2618012	G9078	Condition
2618013	G9079	Condition
2618014	G9080	Condition
2618017	G9083	Condition
2618066	G9132	Condition
2618067	G9133	Condition
2618029	G9095	Condition
2618028	G9094	Condition
2618003	G9069	Condition
2618004	G9070	Condition
43533178	G8947	Condition
2617597	G8183	Condition
2617599	G8185	Condition
2617798	G8391	Condition
2617502	G8012	Condition
2617503	G8013	Condition
2617494	G7	Condition
2617714	G8306	Condition
2617716	G8308	Condition
40664658	G8846	Condition
2720881	QL	Condition
2721151	S2270	Procedure
2721119	S2120	Procedure
2617355	G0270	Procedure
2618183	H2033	Procedure
2721592	S9986	Procedure
2617231	G0129	Procedure
2721448	S9129	Procedure
2617360	G0275	Procedure
2617416	G0340	Procedure
2616272	C8930	Procedure
2616270	C8928	Procedure
2616271	C8929	Procedure
2618182	H2032	Procedure
2617264	G0176	Procedure
2615425	AT	Procedure
2721104	S2083	Procedure
2617490	G3001	Procedure
2617179	G0010	Procedure
2617177	G0008	Procedure
2617178	G0009	Procedure
2721111	S2107	Procedure
2721110	S2103	Procedure
2618190	HB	Procedure
2614674	A0433	Procedure
2719616	L1932	Procedure
2618100	H0001	Procedure
2618121	H0022	Procedure
2618128	H0029	Procedure
2618126	H0027	Procedure
2618127	H0028	Procedure
2618125	H0026	Procedure
2618114	H0015	Procedure
2618149	H0050	Procedure
2618108	H0009	Procedure
2618110	H0011	Procedure
2618112	H0013	Procedure
2618113	H0014	Procedure
2618105	H0006	Procedure
2618106	H0007	Procedure
2618104	H0005	Procedure
2618115	H0016	Procedure
2618119	H0020	Procedure
2618107	H0008	Procedure
2618109	H0010	Procedure
2618111	H0012	Procedure
2618146	H0047	Procedure
2618186	H2036	Procedure
2618185	H2035	Procedure
2617464	G0396	Procedure
2617465	G0397	Procedure
2721628	T1006	Procedure
2721629	T1007	Procedure
40664833	G0442	Procedure
40664726	G0444	Procedure
2721064	S0612	Procedure
2721063	S0610	Procedure
2721065	S0613	Procedure
40664425	G0439	Procedure
40658748	G8585	Procedure
40660911	G8579	Procedure
2721414	S8948	Procedure
40664502	G0440	Procedure
2721113	S2112	Procedure
2617368	G0289	Procedure
2721152	S2300	Procedure
40663933	G8598	Procedure
2721914	V5010	Procedure
2721650	T1028	Procedure
2721246	S4022	Procedure
2721066	S0618	Procedure
40663669	L8692	Procedure
2721420	S9015	Procedure
2721232	S3902	Procedure
2618103	H0004	Procedure
2618162	H2012	Procedure
2618129	H0030	Procedure
2618122	H0023	Procedure
2618124	H0025	Procedure
2618123	H0024	Procedure
2618101	H0002	Procedure
2720322	L6935	Procedure
40658347	G8582	Procedure
2617439	G0364	Procedure
2721095	S2068	Procedure
2721093	S2066	Procedure
40664725	G0443	Procedure
40664607	C9731	Procedure
40664632	C9730	Procedure
2721409	S8460	Procedure
43533323	G8963	Procedure
43533322	G8962	Procedure
43533346	G8966	Procedure
43533272	G8964	Procedure
43533345	G8965	Procedure
43533344	G8961	Procedure
2720572	Q0035	Procedure
2721638	T1016	Procedure
2615768	C1757	Procedure
2615864	C1885	Procedure
2615752	C1725	Procedure
2615741	C1714	Procedure
2615751	C1724	Procedure
2720563	P9615	Procedure
2720562	P9612	Procedure
