hcpsc_id	snomed_id
2617470	4145308
2617471	4145308
2617472	4145308
2616542	4180942
2617264	4327748
2618182	4327748
2721104	4253750
2617490	4181511
2617779	4181511
2618190	4258479
2614674	4347668
40664833	4062656
2721123	4145532
2721124	4145532
2720182	4030398
2720183	4030398
2720184	4030398
2720196	4030398
2720327	4030398
2720328	4030398
2617495	4139352
2617944	4139352
2720887	4139352
43533320	4132787
2617811	40489833
2617912	40489833
40664784	4056822
2617920	4207279
40660911	4207279
40663933	4151769
40664842	4151769
2617459	4064380
2616462	4232651
2719997	4305581
2719998	4305581
2719999	4305581
2720000	4305581
2720001	4305581
2720002	4305581
2720188	4305581
2720189	4305581
2720190	4305581
2720191	4305581
2720192	4305581
2720467	4227277
2617368	4106050
2721113	4106050
40664725	4040976
40664776	4040976
40664664	4040976
2618101	4040976
2618103	4040976
2618122	4040976
2618123	4040976
2618124	4040976
2618129	4040976
2618162	4040976
2618169	4040976
2618170	4040976
2615487	4097300
2617232	4218403
2617439	4174208
2617439	4120443
43533205	4330771
2616463	4003731
40664632	4311284
40664607	4311284
43533238	4212792
43533226	4212792
40658719	4209116
40661615	4209116
43533187	4106548
43533354	4106548
43533242	4106548
43533186	4233420
43533223	4233420
2615768	4042641
40664776	4181176
2721023	4045717
2617956	4298179
2615741	4078442
2615751	4078442
2615752	4078442
2615864	4078442
2720562	4078442
2720563	4078442
2617204	4062484
2617469	4240345
40659151	4287640
2618158	4063814
2721059	4298183
43533247	4184832
43533352	4184832
43533353	4184832
43533248	4184832
2719560	4173654
2719561	4173654
40664881	40484224
2618161	4083706
2618134	4307169
2615955	4146273
40664730	4303663
40664867	4303663
2617367	4168976
2617225	4238831
2617226	4238831
2617236	4238831
2617237	4238831
2617238	4238831
2617239	4238831
2617240	4238831
2617241	4238831
40664726	4064377
2617274	4336680
40664700	4196106
2618107	4283824
2618108	4283824
2618109	4283824
2618110	4283824
2618111	4283824
2618112	4283824
2618113	4283824
2617331	4269024
2721061	4067349
2617342	4032243
40664618	4041982
2617205	4254766
2721062	4254766
2721070	4308371
2719984	4242396
2719985	4242396
2719994	4242396
2720179	4052082
2720180	4052082
2720194	4052082
2720323	4052082
2720324	4052082
2720173	4116915
2720174	4116915
2720319	4116915
2720320	4116915
2617742	4130003
2617811	4130003
2617834	4130003
2617840	4130003
2617912	4130003
43533365	4130003
2618195	4145649
