hcpsc_id	snomed_id
2720002	4022559
2720188	4022559
2720189	4022559
2720190	4022559
2720191	4022559
2720192	4022559
2618153	4176966
2618150	4112701
2618151	4112701
2618152	4112701
2618155	4112701
2618154	4172038
40664606	4072692
2615951	4203582
2719510	4180941
2719511	4180941
2719512	4180941
2617808	4042650
2720492	4215832
2719535	4038877
2617334	4259570
2719823	4208804
2719824	4208804
2719825	4208804
2719826	4208804
2719827	4208804
2616499	4087225
2618163	4032377
40661971	4035793
2721093	4123634
2721095	4123634
2617479	4286345
43533254	4172861
43533276	4172861
43533265	4172861
2614681	4138520
2617984	4142605
2617989	4142605
2618125	4220460
40664618	4305743
40664883	4139566
40664815	4139566
2618190	4072499
2618159	4180248
2615768	4042150
2617353	4146436
2721091	4337613
2721071	4147691
2614917	4297706
2614947	4297706
2719401	4297706
2719967	4297706
2720091	4297706
2720092	4297706
2720093	4297706
2720628	4297706
2720898	4297706
2720899	4297706
2617383	4051666
2617322	4039916
2617323	4039916
2617324	4039916
43533353	4337739
43533248	4337739
2617207	4152046
2617208	4152046
2617209	4152046
2617222	4152046
2617223	4152046
2617224	4152046
2617406	4152046
2617289	4077697
2618081	4077697
2720685	4322551
2617184	4040728
40664679	4263386
43533360	4298296
2720710	4205590
40664675	4016390
2617466	4030173
2617467	4030173
2617468	4030173
2617801	4259495
2617246	4083136
2618167	4084189
2618168	4084189
2617476	4259483
2721126	4208341
2720562	4070456
2720563	4070456
2617416	4021989
2617464	4254232
2617465	4254232
2618104	4254232
2618105	4254232
2618106	4254232
2618107	4254232
2618108	4254232
2618109	4254232
2618110	4254232
2618111	4254232
2618112	4254232
2618113	4254232
2618114	4254232
2618115	4254232
2618119	4254232
2618125	4254232
2618126	4254232
2618127	4254232
2618128	4254232
2618146	4254232
2618149	4254232
2618185	4254232
2618186	4254232
2618194	4254232
2617464	4248979
2617465	4248979
2618100	4248979
2618121	4248980
40664833	4188559
40664513	4174401
40664474	4174401
40664586	4174401
40664492	4174401
2617852	4174401
2615411	4024607
2617269	4024607
2617372	4301351
2617373	4301351
40663506	40489429
40663507	40489429
40659402	40489429
2721146	4297250
2721148	4297250
2721149	4297250
2721150	4297250
2617365	4059953
2617366	4059953
40661615	4198096
2616269	4019824
2616268	43021423
2615752	40489873
2615864	40489873
2721092	4322471
2721088	4300185
2721110	4193904
2617418	4027241
2617419	4027241
2721092	4266668
2721090	4178637
2721087	4207040
2616272	4335825
2616270	4335825
2616271	4335825
2616263	43021737
2616264	43021737
2616265	4199240
2616266	4199240
2617780	4321704
2617781	4321704
2721108	4136166
2616267	40479237
2721087	4076862
2721141	4266016
40664802	4169111
40664803	4169111
2721102	4180122
40664571	4082989
40664460	4082989
40664521	4082989
40664435	4082989
40664425	4149466
2617982	4280818
2617983	4280818
2616844	40479254
43533177	4021323
2617584	4336464
2720016	4142529
2720015	4142529
2617355	4298279
2617356	4298279
2721020	4191378
2721019	4191378
2721151	40490519
2721237	4199599
2720875	4239130
2720877	4239130
2720876	4239130
2617360	4194957
2721437	4021315
2721667	4126965
2721668	4126965
2721442	4301463
2721622	4301463
2721625	4301463
2721626	4301463
2721461	4173786
2721745	4170305
2721414	4132648
2721345	4232651
2721152	4085220
2721246	4272937
2721913	4236482
2721977	4236482
2721232	4239245
2721348	4098782
2721152	4272960
2721638	4298179
2721639	4298179
2721915	4021510
2721409	4024347
2721154	4277583
2721155	4277583
2721647	4331898
2721648	4331898
2721171	4178014
2721429	4036566
2721357	4300757
2721153	40489502
2721549	4083706
2721550	4083706
2721158	4201395
2721159	4030312
2721435	4261028
2721177	4295031
2721540	4108499
2721450	4295054
2721451	4295054
2721462	4295054
2721538	4295054
2721539	4295054
2721540	4295054
2721538	4263540
2721174	4344625
2721424	4099175
2721541	4041982
2721441	4085819
2721539	4085819
2721643	4085819
2721640	4254480
2721753	4254480
2721420	4181917
2721309	4249865
2721156	4105083
2721483	4042005
2721484	4042005
2721485	4042005
2721486	4042005
2721650	4021194
2721426	4306113
2721456	4175287
2721457	4175287
2721459	4175287
2721460	4175287
2721461	4175287
2721462	4175287
2721159	4083391
2721170	4339615
2721628	4207916
2721748	4149126
2721649	4028920
2721915	4183058
2721754	4307024
2721238	4127104
2721746	4269171
2721671	4043220
2721672	4043220
2721673	4043220
2721674	4043220
2721675	4043220
2721676	4043220
2721529	4214406
2721915	4129665
2721914	4296936
2721977	4030175
2721479	4120120
2721412	4046461
2721283	4246074
2721284	4246074
2721315	4246074
2721316	4246074
2721325	4246074
2721326	4246074
2721418	4246074
2721437	4246074
2721438	4246074
2721441	4246074
2721456	4246074
2721457	4246074
2721459	4246074
2721460	4246074
2721461	4246074
2721462	4246074
2721479	4246074
2721482	4246074
2721483	4246074
2721484	4246074
2721485	4246074
2721486	4246074
2721504	4246074
2721567	4246074
2721584	4246074
2721643	4246074
2721437	4259432
2721438	4259432
2721460	4064925
2721169	4295635
2721283	4269838
2721284	4269838
2721254	4138741
2721174	4040252
2721347	4194588
2721346	4013636
2721349	4013636
2721258	4001217
2721423	4058518
2721454	4299235
2721605	4160058
2721317	4259478
2721549	4305724
2721550	4305724
2721251	4342509
2721916	40486004
2721415	4233623
2721157	4010253
2721415	4035735
2721623	4027467
2721443	4321906
2721652	4321906
2721653	4321906
2721877	4049310
2721168	4347413
2721172	4304009
2721906	4216856
2721435	4311038
2721453	4263508
2721547	4155973
2721258	4247007
2721530	4151485
2721531	4151485
2721365	4269009
2721161	4329110
2721563	4332170
2721482	4324124
2721438	4151902
2721693	4172515
2721694	4172515
2721547	4084686
2721917	4163403
2721416	4238738
2721449	4238738
2721543	4035793
2721351	4059385
2721748	4313451
2721875	4294516
2721173	4141806
2721167	4012461
2721315	4203780
2721316	4203780
2721981	4197890
2721645	4063579
2721979	4063579
2721980	4063579
2721352	4045947
2721355	4328154
2721431	4293153
2721446	4259483
2721447	4201412
2721537	4257838
2721628	4210149
2721629	4210149
2721231	4099523
2617263	4191378
43533372	43021425
2721240	4199599
43533311	4059953
2721325	4231886
2721326	4231886
2721567	4024656
2721352	4189517
2721423	4037672
2721418	4160022
2721546	4051782
2721533	4251734
2721318	4259489
2721239	4127105
2617538	4140740
2617415	4021989
2617231	4309371
