atc_code,rxnorm_concept_id,combination
C02CA03,,
C02CC01,,
C02CC03,,
C02CC04,19011951,
C02CC05,,
C02CC06,,
C02CC07,,
C02DB03,,
C02DB04,,
C02KA01,,
C02KX03,,
C02LA02,,Y
C02LA03,,Y
C02LA04,,Y
C02LA07,,Y
C02LA08,,Y
C02LA09,,Y
C02LA50,,Y
C02LA51,,Y
C02LA52,,Y
C02LA71,,Y
C02LB01,,Y
C02LC01,,Y
C02LC05,,Y
C02LC51,,Y
C02LE01,,Y
C02LF01,,Y
C02LG01,,Y
C02LG02,,Y
C02LG03,,Y
C02LG51,,Y
C02LG73,,Y
C02LK01,,Y
C02LL01,,Y
C02LX01,,Y
C03AA13,,
C03AB01,,Y
C03AB02,,Y
C03AB03,,Y
C03AB04,,Y
C03AB05,,Y
C03AB06,,Y
C03AB07,,Y
C03AB08,,Y
C03AB09,,Y
C03AH01,,Y
C03AH02,,Y
C03AX01,,Y
C03BA07,,
C03BA09,,
C03BA12,,
C03BA13,,
C03BA82,,Y
C03BB02,,Y
C03BB03,,Y
C03BB04,,Y
C03BB05,,Y
C03BB07,,Y
C03BX03,19055568,
C03CB01,,Y
C03CB02,,Y
C03CC02,,
C03CD01,,
C03CX01,,
C03DA02,,
C03EA01,,Y
C03EA02,,Y
C03EA03,,Y
C03EA04,,Y
C03EA05,,Y
C03EA06,,Y
C03EA07,,Y
C03EA12,,Y
C03EA13,,Y
C03EA14,,Y
C03EB01,,Y
C03EB02,,Y
C04AC03,,
C04AC07,,
C04AD02,,
C04AD04,19095564,
C04AE51,,Y
C04AE54,,Y
C04AF01,,
C04AX19,,
C04AX21,19014035,
C04AX24,,
C04AX27,,
C04AX30,,
C04AX32,,
C05AA10,996541,
C05AD06,,
C05AX01,,
C05AX02,,Y
C05BA01,,
C05BA02,,
C05BA04,,
C05BA51,,Y
C05BA53,,Y
C05BB56,,Y
C05BX01,19018549,
C05BX51,,Y
C05CA02,,
C05CA05,,
C05CA51,,Y
C05CA54,,Y
C07AA27,,
C07AA57,,Y
C07AB06,,
C07AB10,,
C07AB11,,
C07AB52,,Y
C07AB57,,Y
C07BA02,,Y
C07BA05,,Y
C07BA06,,Y
C07BA07,,Y
C07BA12,,Y
C07BA68,,Y
C07BB02,,Y
C07BB03,,Y
C07BB04,,Y
C07BB06,,Y
C07BB07,,Y
C07BB12,,Y
C07BB52,,Y
C07BG01,,Y
C07CA02,,Y
C07CA03,,Y
C07CA17,,Y
C07CA23,,Y
C07CB02,,Y
C07CB03,,Y
C07CB53,,Y
C07CG01,,Y
C07DA06,,Y
C07DB01,,Y
C07FA05,,Y
