atc_code,rxnorm_concept_id,combination
S01AA14,,
S01AA15,,
S01AA16,19056245,
S01AA20,,Y
S01AA25,,
S01AA30,,Y
S01AB02,,
S01AB03,,
S01AB05,,
S01AD03,,
S01AD05,,
S01AX01,,
S01AX02,,
S01AX04,,
S01AX05,,
S01AX07,,
S01AX16,,
S01BA12,,
S01BB01,,Y
S01BB02,,Y
S01BB03,,Y
S01BB04,,Y
S01BC01,,
S01BC07,,
S01BC09,,
S01CA01,,Y
S01CA02,,Y
S01CA03,,Y
S01CA04,,Y
S01CA05,,Y
S01CA06,,Y
S01CA07,,Y
S01CA08,,Y
S01CA09,,Y
S01CA10,,Y
S01CA11,,Y
S01CC01,,Y
S01EA51,,Y
S01EB08,,
S01EB10,,
S01EB51,,Y
S01EB58,,Y
S01ED06,,
S01ED51,,Y
S01ED52,,Y
S01ED54,,Y
S01ED55,,Y
S01FA03,,
S01FA56,,Y
S01GA06,,
S01GA52,,Y
S01GA53,,Y
S01GA55,,Y
S01GA56,,Y
S01GX03,,
S01GX51,,Y
S01HA02,,
S01HA06,,
S01HA30,,Y
S01JA51,,Y
S01KA51,,Y
S01LA02,,
S01XA01,,
S01XA02,19098975,
S01XA05,19007649,
S01XA07,,
S01XA09,,
S01XA19,,
S02AA02,,
S02AA04,,
S02AA12,19056245,
S02AA14,919345,
S02CA01,,Y
S02CA02,,Y
S02CA03,,Y
S02CA04,,Y
S02CA05,,Y
S02CA06,,Y
S02CA07,,Y
S02DA03,,
S02DA04,,
S02DA30,,Y
S03AA06,919345,
S03AA30,,Y
S03CA01,,Y
S03CA02,,Y
S03CA04,,Y
S03CA05,,Y
S03CA06,,Y
V01AA01,,
V01AA02,,
V01AA03,,
V01AA04,,Y
V01AA05,,
V01AA08,,
V01AA09,,
V01AA10,,
V01AA11,,
V01AA20,,
V03AB02,,
V03AB05,,Y
V03AB29,19018636,
V03AB35,,
V03AE04,,Y
V03AE06,,
V03AF06,,
V03AF10,,
V03AG01,,
V03AN05,19103572,
V03AX02,,
V04CB01,,
V04CC04,,
V04CG01,,
V04CG02,,
V04CG05,,
V04CG30,,Y
V04CH02,,
V04CH04,,
V04CK02,,
V08AA01,,
V08AA02,,
V08AA04,,
V08AA05,,
V08AA06,,
V08AA07,,
V08AA08,,
V08AA09,,
V08AA10,,
V08AB03,,
V08AB10,,
V08AC01,,
V08AC02,,
V08AC03,,
V08AC04,,
V08AC05,,
V08AD02,,
V08AD04,,
V08BA01,19011331,
V08BA02,19011331,
V08CA01,,
V08CA02,,
V08CA08,,
V08CA10,,
V08CB02,,
V08CB03,,
V08CX01,,
V08DA01,,
V08DA02,,
V08DA03,,
V08DA04,,
V08DA05,,
V09AA01,,
V09AA02,,
V09AB01,,
V09AB02,,
V09AB03,,
V09AX01,,
V09AX03,,
V09AX04,,
V09AX05,,
V09BA01,,
V09BA02,44785804,
V09BA03,,
V09BA04,,
V09CA01,,
V09CA02,,
V09CA03,,
V09CA04,,
V09CA05,,
V09CA06,,
V09CX01,,
V09CX02,,
V09CX03,,
V09CX04,,
V09DA01,,
V09DA02,,
V09DA03,,
V09DA04,,
V09DA05,,
V09DB01,,
V09DB02,,
V09DB03,,
V09DB04,,
V09DB05,,
V09DB06,,
V09DB07,,
V09DX01,,
V09EA01,,
V09EA02,,
V09EA03,,
V09EB01,,
V09EB02,,
V09EX01,,
V09EX02,,
V09EX03,,
V09FX01,,
V09FX02,,
V09FX03,,
V09FX04,,
V09GA01,,
V09GA02,,
V09GA03,,
V09GA04,,
V09GA05,,
V09GA06,,
V09GA07,,
V09GB01,,
V09GB02,,
V09GX01,,
V09GX02,,
V09GX03,,
V09GX04,,
V09HA01,,
V09HA02,,
V09HA03,,
V09HA04,,
V09HB01,,
V09HB02,,
V09HX01,19069078,
V09IA01,,
V09IA02,,
V09IA03,,
V09IA04,,
V09IA05,,
V09IA06,,
V09IA07,,
V09IA08,,
V09IA09,,
V09IB01,,
V09IB02,,
V09IB03,,
V09IB04,,
V09IX01,43531935,
V09IX02,,
V09IX03,,
V09IX04,,
V09IX05,,
V09IX06,,
V09IX07,,
V09IX08,,
V09XA01,,
V09XA02,,
V09XA03,,
V09XX01,,
V09XX02,,
V09XX03,,
V09XX04,,
V10AA01,,
V10AA02,,
V10AA03,,
V10AX01,,
V10AX02,,
V10AX03,,
V10AX04,,
V10AX05,,
V10AX06,,
V10BX01,,
V10BX03,,
V10XA01,19135934,
V10XA02,,
V10XA53,,Y
V10XX01,,
V10XX02,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
